Episode  56500/1000000 | Mean reward (last 500): +55.33 | Win rate: 54.6% | Win rate (last 500): 60.4% | 
Episode  57000/1000000 | Mean reward (last 500): +36.26 | Win rate: 54.6% | Win rate (last 500): 56.2% | 
Episode  57500/1000000 | Mean reward (last 500): +32.85 | Win rate: 54.6% | Win rate (last 500): 56.0% | 
Episode  58000/1000000 | Mean reward (last 500): +42.18 | Win rate: 54.6% | Win rate (last 500): 57.0% | 
Episode  58500/1000000 | Mean reward (last 500): +25.92 | Win rate: 54.6% | Win rate (last 500): 54.0% | 
Episode  59000/1000000 | Mean reward (last 500): +34.90 | Win rate: 54.6% | Win rate (last 500): 55.8% | 
Episode  59500/1000000 | Mean reward (last 500): +32.76 | Win rate: 54.6% | Win rate (last 500): 56.0% | 
Episode  60000/1000000 | Mean reward (last 500): +41.96 | Win rate: 54.7% | Win rate (last 500): 57.2% | 
Episode  60500/1000000 | Mean reward (last 500): +54.07 | Win rate: 54.7% | Win rate (last 500): 59.6% | 
Episode  61000/1000000 | Mean reward (last 500): +45.84 | Win rate: 54.7% | Win rate (last 500): 59.0% | 
Episode  61500/1000000 | Mean reward (last 500): +27.15 | Win rate: 54.7% | Win rate (last 500): 53.8% | 
Episode  62000/1000000 | Mean reward (last 500): +35.42 | Win rate: 54.7% | Win rate (last 500): 56.2% | 
Episode  62500/1000000 | Mean reward (last 500): +31.25 | Win rate: 54.7% | Win rate (last 500): 55.2% | 
Episode  63000/1000000 | Mean reward (last 500): +44.54 | Win rate: 54.8% | Win rate (last 500): 57.8% | 
Episode  63500/1000000 | Mean reward (last 500): +24.02 | Win rate: 54.8% | Win rate (last 500): 53.8% | 
Episode  64000/1000000 | Mean reward (last 500): +31.93 | Win rate: 54.8% | Win rate (last 500): 55.2% | 
Episode  64500/1000000 | Mean reward (last 500): +60.56 | Win rate: 54.8% | Win rate (last 500): 61.4% | 
Episode  65000/1000000 | Mean reward (last 500): +17.34 | Win rate: 54.8% | Win rate (last 500): 52.8% | 
Episode  65500/1000000 | Mean reward (last 500): +46.64 | Win rate: 54.8% | Win rate (last 500): 58.8% | 
Episode  66000/1000000 | Mean reward (last 500): +32.18 | Win rate: 54.8% | Win rate (last 500): 55.6% | 
Episode  66500/1000000 | Mean reward (last 500): +46.05 | Win rate: 54.9% | Win rate (last 500): 58.2% | 
Episode  67000/1000000 | Mean reward (last 500): +29.46 | Win rate: 54.9% | Win rate (last 500): 54.4% | 
Episode  67500/1000000 | Mean reward (last 500): +39.73 | Win rate: 54.9% | Win rate (last 500): 57.2% | 
Episode  68000/1000000 | Mean reward (last 500): +26.54 | Win rate: 54.9% | Win rate (last 500): 54.8% | 
Episode  68500/1000000 | Mean reward (last 500): +34.22 | Win rate: 54.9% | Win rate (last 500): 56.4% | 
Episode  69000/1000000 | Mean reward (last 500): +33.16 | Win rate: 54.9% | Win rate (last 500): 55.6% | 
Episode  69500/1000000 | Mean reward (last 500): +42.67 | Win rate: 54.9% | Win rate (last 500): 57.0% | 
Episode  70000/1000000 | Mean reward (last 500): +31.65 | Win rate: 54.9% | Win rate (last 500): 56.0% | 
Episode  70500/1000000 | Mean reward (last 500): +37.98 | Win rate: 54.9% | Win rate (last 500): 55.8% | 
Episode  71000/1000000 | Mean reward (last 500): +29.79 | Win rate: 54.9% | Win rate (last 500): 55.2% | 
Episode  71500/1000000 | Mean reward (last 500): +39.16 | Win rate: 54.9% | Win rate (last 500): 56.8% | 
Episode  72000/1000000 | Mean reward (last 500): +26.17 | Win rate: 54.9% | Win rate (last 500): 54.2% | 
Episode  72500/1000000 | Mean reward (last 500): +26.55 | Win rate: 54.9% | Win rate (last 500): 54.4% | 
Episode  73000/1000000 | Mean reward (last 500): +40.42 | Win rate: 54.9% | Win rate (last 500): 56.8% | 
Episode  73500/1000000 | Mean reward (last 500): +23.65 | Win rate: 54.9% | Win rate (last 500): 54.0% | 
Episode  74000/1000000 | Mean reward (last 500): +37.90 | Win rate: 54.9% | Win rate (last 500): 56.6% | 
Episode  74500/1000000 | Mean reward (last 500): +44.53 | Win rate: 55.0% | Win rate (last 500): 58.8% | 
Episode  75000/1000000 | Mean reward (last 500): +52.55 | Win rate: 55.0% | Win rate (last 500): 59.4% | 
Episode  75500/1000000 | Mean reward (last 500): +31.04 | Win rate: 55.0% | Win rate (last 500): 55.4% | 
Episode  76000/1000000 | Mean reward (last 500): +35.00 | Win rate: 55.0% | Win rate (last 500): 56.2% | 
Episode  76500/1000000 | Mean reward (last 500): +32.34 | Win rate: 55.0% | Win rate (last 500): 55.8% | 
Episode  77000/1000000 | Mean reward (last 500): +23.50 | Win rate: 55.0% | Win rate (last 500): 53.4% | 
Episode  77500/1000000 | Mean reward (last 500): +32.24 | Win rate: 55.0% | Win rate (last 500): 55.2% | 
Episode  78000/1000000 | Mean reward (last 500): +44.01 | Win rate: 55.0% | Win rate (last 500): 57.6% | 
Episode  78500/1000000 | Mean reward (last 500): +38.69 | Win rate: 55.0% | Win rate (last 500): 56.8% | 
Episode  79000/1000000 | Mean reward (last 500): +46.43 | Win rate: 55.1% | Win rate (last 500): 58.4% | 
Episode  79500/1000000 | Mean reward (last 500): +28.43 | Win rate: 55.1% | Win rate (last 500): 54.8% | 
Episode  80000/1000000 | Mean reward (last 500): +37.30 | Win rate: 55.1% | Win rate (last 500): 56.8% | 
Episode  80500/1000000 | Mean reward (last 500): +44.05 | Win rate: 55.1% | Win rate (last 500): 57.4% | 
Episode  81000/1000000 | Mean reward (last 500): +39.51 | Win rate: 55.1% | Win rate (last 500): 56.8% | 
Episode  81500/1000000 | Mean reward (last 500): +34.54 | Win rate: 55.1% | Win rate (last 500): 55.6% | 
